Id,AboutMe,Age,CreationDate,DisplayName,DownVotes,EmailHash,LastAccessDate,Location,Reputation,UpVotes,Views,WebsiteUrl,AccountId
196276,"<p>Longtime Turbo Pascal/Borland Pascal/Delphi developer adding Ruby and Ruby on Rails to the mix.</p>

<p>Hobbies include triathlon, sailing.</p>
",,2009-10-25 18:57:16.013,James Roscoe,0,,2021-05-25 13:53:52.217,"Toronto, Ontario, Canada",630,230,38,http://www.withoutsoftware.com,66996
203613,,,2009-11-05 15:56:00.453,DetectiveEric,1,,2021-05-26 18:03:21.760,"Chicago, IL",231,38,43,,70095
188571,"<p>I'm a web developer who always wanted to be a Psychologist.</p>
",,2009-10-12 17:26:11.850,Soleil,0,,2021-05-14 23:51:33.240,"San Jose, CA",323,146,88,http://corticalstack.net,63759
77047,,,2009-03-12 04:38:30.627,Chris Tonkinson,36,,2021-05-26 14:52:52.973,United States,12213,927,847,https://chris.tonkinson.com/,28740
74890,,,2009-03-06 21:27:11.530,digitalbreed,1,,2021-05-28 23:14:15.873,,3080,49,111,,28153
100031,"<p>karateka, #SOreadytohelp</p>
",,2009-05-03 00:06:23.793,Tao,2,,2021-05-16 08:59:18.420,"State College, PA, United States",260,35,64,https://itunes.apple.com/us/artist/tao-zhang/id320590307,35332
201880,,,2009-11-03 16:49:11.587,Michael M,0,,2020-12-03 19:41:38.820,"Chicago, IL, United States",398,50,41,,69381
156856,"<p>And more blah blah blah here.</p>
",,2009-08-15 07:48:13.343,Rick Andrews,0,,2021-05-28 13:03:04.780,"London, United Kingdom",101,50,103,https://about.me/rick.andrews,52485
228129,"<p>I like to program and build cars.</p>
",,2009-12-09 17:08:09.327,bigamil,4,,2020-12-26 21:38:06.030,"Kansas City, MO",657,43,123,http://www.themiller.me,80755
26416,,,2008-10-09 08:10:32.327,Gra,11,,2021-05-26 11:03:31.183,,1452,116,168,http://profgra.org/lycee,13222
58470,"<p>I'm a Technical Director for a large multi-national manufacturing company in the energy sector.  Even though I'm not an active coder any more, I've been a developer for over 25 years and still enjoy working in various languages including C#/.NET as well as a number of different scripting languages including Python, Perl, and Lua.</p>
",,2009-01-23 22:50:02.970,meisen99,7,,2021-03-11 00:18:01.780,,516,18,42,,23363
212661,"<ul>
<li>☭ Software Engineering (Web development)
<ul>
<li>♔ Creative Artist &amp; Painter </li>
<li>♬ Music Lover </li>
<li>♡ Great Lover  </li>
<li>♡ Great Father</li>
</ul></li>
</ul>
",,2009-11-17 07:47:15.787,sandeep talabathula,1,,2021-05-29 14:44:45.600,"Hyderabad, India",3008,46,448,http://thingsondotnet.blogspot.com/,73928
220068,"<p>MCSD.</p>

<p>Developing software since 1992, in technologies including COBOL, VB.NET, C#, PHP, Java, Javascript, HTML, XAML, WPF, WCF, Xamarin Forms, SQL (SQL Server, DB2, Oracle, MySQL), Synergy, JCL, OpenVMS, Linux, Windows, Android. </p>

<p>In short, if the programming language is English-based, I can code in it, whether I want to or not.</p>
",,2009-11-27 14:19:40.000,Russ,94,,2021-05-25 20:40:25.900,"Columbus, OH",3913,58,336,http://russjudge.com,77003
182465,,,2009-10-01 11:51:40.203,Aled,0,,2021-02-14 18:03:13.620,,157,9,30,,61171
150648,"<p>At work: Information architecture, interaction design, user experience, documentation.</p>

<p>In my spare time: Using C#/WPF/UWP to control the LED screens in the Telekom Dome sports arena in Bonn, Germany.</p>
",,2009-08-04 21:40:50.567,Roland Weigelt,0,,2021-05-26 21:05:50.713,"Bonn, Germany",103,4,22,,50496
186034,,,2009-10-08 00:28:37.813,ymerej,10,,2021-05-29 16:50:39.210,,650,168,84,,62690
149053,"<p>Local gov't developer by day, freelancer by night.
<br/><br/>
twitter:  <a href=""http://twitter/klabranche"" rel=""nofollow noreferrer"">@klabranche</a></p>
",,2009-08-01 19:39:52.883,Kevin LaBranche,12,,2021-05-26 18:07:05.317,"Flagstaff, AZ",20490,1875,1051,http://kevinlabranche.com,49999
110644,,,2009-05-21 17:13:34.033,Nate Murray,17,,2021-05-27 15:58:42.987,,3465,262,244,,38530
2071395,,,2009-10-15 06:56:22.567,Erik Schierboom,25,,2021-05-29 19:01:22.230,Netherlands,15025,2813,1882,http://www.erikschierboom.com,64509
188752,,,2009-10-12 23:52:57.397,Sami Samhuri,19,,2021-05-20 22:48:48.013,"Victoria, British Columbia, Canada",1461,494,188,http://samhuri.net,63836
38270,,,2008-11-17 15:51:01.697,Tom,1,,2021-05-29 10:07:12.863,,1342,126,110,,17208
84619,"<p>.</p>
",,2009-03-30 13:40:36.397,Andy,56,,2021-05-26 15:29:26.437,"Reading, United Kingdom",8212,187,246,http://www.woodleybasketball.co.uk,30922
79450,"<p>Pretty good at Java. Pretty average at everything else.</p>
",,2009-03-18 11:33:53.533,Catchwa,43,,2020-10-27 02:14:58.783,,5635,393,470,,29412
